table_abbrev,spec,sample,outcome,full_audits_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","P(Execution)","1","-0.14","***","0.03","704","0.27","table4_main_outcomes_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","P(Detection | Execution)","4","0.07","***","0.01","413","0.86","table4_main_outcomes_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","log(Evasion) | Detection","7","0.03","","0.11","377","0.80","table4_main_outcomes_yhatrf_control_ltu_medium.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","P(Execution)","1","-0.15","***","0.04","646","0.19","table4_main_outcomes_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","P(Detection | Execution)","4","0.06","***","0.01","407","0.86","table4_main_outcomes_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","log(Evasion) | Detection","7","-0.04","","0.12","359","0.79","table4_main_outcomes_yhatrf_control_selectionyear_2018_2019.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","P(Execution)","1","-0.09","***","0.03","944","0.37","table4_main_outcomes_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","P(Detection | Execution)","4","0.04","**","0.02","508","0.75","table4_main_outcomes_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","log(Evasion) | Detection","7","0.11","","0.11","457","0.76","table4_main_outcomes_yhatrf_deciles_control.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","P(Execution)","1","-0.07","*","0.03","704","0.35","table4_main_outcomes_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.05","**","0.02","413","0.73","table4_main_outcomes_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.06","","0.12","377","0.77","table4_main_outcomes_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","**","0.04","646","0.31","table4_main_outcomes_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.05","***","0.02","407","0.76","table4_main_outcomes_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","-0.01","","0.13","359","0.76","table4_main_outcomes_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","P(Execution)","1","-0.08","***","0.03","944","0.40","table4_main_outcomes_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","P(Detection | Execution)","4","0.02","**","0.01","508","0.94","table4_main_outcomes_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","log(Evasion) | Detection","7","0.05","","0.10","457","0.80","table4_main_outcomes_yhatrf_quadratic_control.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","P(Execution)","1","-0.04","","0.03","704","0.38","table4_main_outcomes_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.02","**","0.01","413","0.96","table4_main_outcomes_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.02","","0.11","377","0.80","table4_main_outcomes_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","**","0.03","646","0.35","table4_main_outcomes_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.02","**","0.01","407","0.94","table4_main_outcomes_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","-0.04","","0.12","359","0.79","table4_main_outcomes_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","P(Execution)","1","-0.10","***","0.03","944","0.35","table4_main_outcomes_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","P(Detection | Execution)","4","0.05","**","0.02","508","0.67","table4_main_outcomes_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","log(Evasion) | Detection","7","0.10","","0.12","457","0.73","table4_main_outcomes_yhatrf_quintiles_control.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","P(Execution)","1","-0.07","**","0.03","704","0.33","table4_main_outcomes_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.05","**","0.02","413","0.61","table4_main_outcomes_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.03","","0.12","377","0.74","table4_main_outcomes_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","P(Execution)","1","-0.09","**","0.04","646","0.28","table4_main_outcomes_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.05","***","0.02","407","0.69","table4_main_outcomes_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","-0.04","","0.14","359","0.73","table4_main_outcomes_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","P(Execution)","1","-0.09","***","0.03","944","0.37","table4_main_outcomes_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","P(Detection | Execution)","4","0.04","**","0.02","508","0.75","table4_main_outcomes_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","log(Evasion) | Detection","7","0.10","","0.11","457","0.77","table4_main_outcomes_yhatrf_topsplit_control.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","P(Execution)","1","-0.06","*","0.03","704","0.35","table4_main_outcomes_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","P(Detection | Execution)","4","0.05","**","0.02","413","0.73","table4_main_outcomes_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","log(Evasion) | Detection","7","0.07","","0.12","377","0.77","table4_main_outcomes_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","P(Execution)","1","-0.07","**","0.04","646","0.31","table4_main_outcomes_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","P(Detection | Execution)","4","0.05","***","0.02","407","0.76","table4_main_outcomes_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","log(Evasion) | Detection","7","-0.01","","0.13","359","0.76","table4_main_outcomes_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
