table_abbrev,spec,sample,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-15.90","*","9.14","85","0.41","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-24.93","","16.72","243","0.31","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-23.07","","25.91","51","0.61","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.09","","0.14","359","0.75","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.97","*","0.56","53","0.83","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","0.07","","0.19","215","0.72","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"15 bins of pred evasion + only 2018/2019","Predicted-evasion 15-bin controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.10","","0.32","40","0.77","table5_fullaudits_yhatrf_15bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Number of Agents","1","-0.15","**","0.07","508","0.51","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Duration in Days (Taxpayer Survey)","2","-7.90","*","4.29","214","0.34","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Days from Start to Conf. (Admin Data)","3","-24.97","*","14.78","282","0.35","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Days Working on Case (Self-Reported)","4","6.75","","26.86","51","0.68","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Evasion / Number of Agents","5","0.21","*","0.11","457","0.77","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.86","***","0.26","98","0.78","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Evasion / Duration (Admin Data)","7","0.16","","0.18","253","0.72","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion","Predicted-evasion 20-bin controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.48","","0.37","40","0.81","table5_fullaudits_yhatrf_20bins_control.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Number of Agents","1","-0.20","***","0.07","413","0.47","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-7.38","*","4.41","167","0.33","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-24.32","","15.90","252","0.36","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","5.23","","31.06","37","0.61","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.21","*","0.12","377","0.77","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","0.98","***","0.28","88","0.80","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.30","*","0.18","228","0.73","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
