table_abbrev,spec,sample,outcome,model_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","P(Execution)","6","-0.052","","0.036","646","0.414","table8_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.040","**","0.019","407","0.823","table8_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.022","","0.137","359","0.828","table8_fullaudits_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","P(Execution)","6","-0.114","***","0.030","944","0.346","table8_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","P(Detection | Execution)","6","0.042","***","0.011","508","0.886","table8_fullaudits_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","log(Evasion) | Detection","6","-0.029","","0.101","457","0.827","table8_fullaudits_yhatrf_control.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","P(Execution)","6","-0.107","***","0.035","704","0.330","table8_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","P(Detection | Execution)","6","0.048","***","0.011","413","0.890","table8_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","log(Evasion) | Detection","6","-0.040","","0.107","377","0.833","table8_fullaudits_yhatrf_control_ltu_medium.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","P(Execution)","6","-0.111","***","0.036","646","0.288","table8_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","P(Detection | Execution)","6","0.045","***","0.013","407","0.892","table8_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.142","","0.118","359","0.822","table8_fullaudits_yhatrf_control_selectionyear_2018_2019.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","P(Execution)","6","-0.073","**","0.029","944","0.399","table8_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","P(Detection | Execution)","6","0.037","**","0.017","508","0.767","table8_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","log(Evasion) | Detection","6","0.048","","0.118","457","0.781","table8_fullaudits_yhatrf_deciles_control.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","P(Execution)","6","-0.063","*","0.034","704","0.389","table8_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","P(Detection | Execution)","6","0.038","**","0.018","413","0.756","table8_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","log(Evasion) | Detection","6","0.008","","0.124","377","0.788","table8_fullaudits_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","P(Execution)","6","-0.059","","0.036","646","0.357","table8_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.048","**","0.019","407","0.778","table8_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.085","","0.140","359","0.779","table8_fullaudits_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","P(Execution)","6","-0.065","**","0.028","944","0.436","table8_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","P(Detection | Execution)","6","0.016","*","0.009","508","0.952","table8_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","log(Evasion) | Detection","6","-0.033","","0.101","457","0.828","table8_fullaudits_yhatrf_quadratic_control.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","P(Execution)","6","-0.041","","0.033","704","0.426","table8_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","P(Detection | Execution)","6","0.014","**","0.007","413","0.967","table8_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","log(Evasion) | Detection","6","-0.055","","0.108","377","0.834","table8_fullaudits_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","P(Execution)","6","-0.058","*","0.034","646","0.399","table8_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.021","**","0.011","407","0.952","table8_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.153","","0.118","359","0.823","table8_fullaudits_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","P(Execution)","6","-0.080","***","0.029","944","0.389","table8_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","P(Detection | Execution)","6","0.044","**","0.020","508","0.685","table8_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","log(Evasion) | Detection","6","0.041","","0.126","457","0.752","table8_fullaudits_yhatrf_quintiles_control.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","P(Execution)","6","-0.068","**","0.035","704","0.377","table8_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","P(Detection | Execution)","6","0.044","**","0.021","413","0.637","table8_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","log(Evasion) | Detection","6","-0.033","","0.126","377","0.759","table8_fullaudits_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","P(Execution)","6","-0.069","*","0.036","646","0.340","table8_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.051","**","0.022","407","0.717","table8_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
