table_abbrev,spec,sample,panel,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.01","","0.21","199","0.27","table6_indices_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.06","","0.43","89","0.58","table6_indices_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.04","","0.42","88","0.60","table6_indices_yhatrf_50bins_control.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.45","*","0.27","149","0.36","table6_indices_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.17","","0.28","148","0.32","table6_indices_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.06","","0.61","78","0.57","table6_indices_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.06","","0.52","77","0.62","table6_indices_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","0.37","","0.48","68","0.63","table6_indices_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.28","","0.38","68","0.67","table6_indices_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.60","","0.71","43","0.67","table6_indices_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion + only 2018/2019","Predicted-evasion 50-bin controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.42","","0.49","42","0.86","table6_indices_yhatrf_50bins_control_selectionyear_2018_2019.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.40","**","0.16","199","0.10","table6_indices_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.00","","0.15","199","0.12","table6_indices_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.36","","0.27","89","0.10","table6_indices_yhatrf_control.tex"
"linear pred evasion","Linear predicted-evasion control","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.27","","0.25","88","0.16","table6_indices_yhatrf_control.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.53","***","0.19","149","0.12","table6_indices_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.02","","0.18","148","0.11","table6_indices_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.48","*","0.28","78","0.11","table6_indices_yhatrf_control_ltu_medium.tex"
"linear pred evasion + LTU/Medium only","Linear predicted-evasion control","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.26","","0.26","77","0.12","table6_indices_yhatrf_control_ltu_medium.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.01","","0.25","68","0.13","table6_indices_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.08","","0.24","68","0.21","table6_indices_yhatrf_control_selectionyear_2018_2019.tex"
